n	v_eff	rho
717 19.8926 2.72148
718 12.4961 2.73001
719 6.86696 2.73855
720 2.94713 2.74709
721 0.678557 2.75563
722 0.00340848 2.76418
723 0.864201 2.77272
724 3.20394 2.78126
725 6.96622 2.78979
726 12.0954 2.79832
727 18.5365 2.80684
728 26.2356 2.81534
729 35.1397 2.82384
730 45.1966 2.83233
731 56.3556 2.8408
732 68.5668 2.84925
733 81.7814 2.85769
734 95.9521 2.86611
735 111.032 2.87452
736 126.978 2.8829
737 143.744 2.89127
738 161.288 2.89961
739 179.57 2.90793
740 198.548 2.91622
741 218.185 2.9245
742 238.442 2.93275
743 259.284 2.94097
744 280.675 2.94916
745 302.581 2.95733
746 324.97 2.96547
747 347.81 2.97358
748 371.071 2.98167
749 394.722 2.98972
750 418.737 2.99775
751 443.087 3.00574
752 467.748 3.0137
753 492.693 3.02163
754 517.898 3.02953
755 543.341 3.0374
756 568.999 3.04523
757 594.851 3.05303
758 620.877 3.0608
759 647.056 3.06853
760 673.371 3.07623
761 699.804 3.08389
762 726.336 3.09152
763 752.953 3.09912
764 779.639 3.10668
765 806.377 3.1142
766 833.156 3.12169
767 859.96 3.12914
768 886.776 3.13656
769 913.594 3.14394
770 940.4 3.15128
771 967.184 3.15859
772 993.935 3.16586
773 1020.64 3.17309
774 1047.3 3.18029
775 1073.89 3.18745
776 1100.42 3.19457
777 1126.86 3.20165
778 1153.22 3.2087
779 1179.49 3.21571
780 1205.66 3.22269
781 1231.72 3.22962
782 1257.66 3.23652
783 1283.49 3.24338
784 1309.2 3.2502
785 1334.77 3.25699
786 1360.22 3.26374
787 1385.52 3.27045
788 1410.68 3.27712
789 1435.7 3.28376
790 1460.56 3.29036
791 1485.27 3.29692
792 1509.83 3.30344
793 1534.22 3.30993
794 1558.46 3.31638
795 1582.52 3.32279
796 1606.43 3.32916
797 1630.16 3.3355
798 1653.72 3.3418
799 1677.1 3.34807
800 1700.32 3.35429
801 1723.35 3.36048
802 1746.21 3.36663
803 1768.89 3.37275
804 1791.4 3.37883
805 1813.72 3.38487
806 1835.86 3.39087
807 1857.81 3.39684
808 1879.59 3.40277
809 1901.18 3.40867
810 1922.59 3.41453
811 1943.82 3.42035
812 1964.86 3.42614
813 1985.72 3.43189
814 2006.4 3.43761
815 2026.89 3.44329
816 2047.2 3.44893
817 2067.33 3.45454
818 2087.27 3.46011
819 2107.04 3.46565
820 2126.62 3.47115
821 2146.02 3.47662
822 2165.24 3.48205
823 2184.28 3.48745
824 2203.14 3.49281
825 2221.82 3.49814
826 2240.32 3.50343
827 2258.65 3.50869
828 2276.8 3.51391
829 2294.78 3.5191
830 2312.58 3.52426
831 2330.21 3.52938
832 2347.66 3.53446
833 2364.94 3.53952
834 2382.05 3.54453
835 2399 3.54952
836 2415.77 3.55447
837 2432.38 3.55939
838 2448.82 3.56427
839 2465.09 3.56913
840 2481.2 3.57394
841 2497.15 3.57873
842 2512.93 3.58348
843 2528.56 3.5882
844 2544.02 3.59289
845 2559.33 3.59754
846 2574.48 3.60216
847 2589.47 3.60675
848 2604.3 3.61131
849 2618.99 3.61584
850 2633.52 3.62033
851 2647.9 3.62479
852 2662.12 3.62922
853 2676.2 3.63362
854 2690.13 3.63798
855 2703.92 3.64232
856 2717.56 3.64662
857 2731.05 3.65089
858 2744.4 3.65513
859 2757.61 3.65934
860 2770.68 3.66352
861 2783.61 3.66767
862 2796.39 3.67178
863 2809.05 3.67587
864 2821.56 3.67992
865 2833.94 3.68395
866 2846.19 3.68794
867 2858.3 3.69191
868 2870.29 3.69584
869 2882.14 3.69974
870 2893.86 3.70362
871 2905.46 3.70746
872 2916.92 3.71128
873 2928.27 3.71506
874 2939.48 3.71882
875 2950.58 3.72254
876 2961.55 3.72624
877 2972.4 3.7299
878 2983.12 3.73354
879 2993.73 3.73715
880 3004.22 3.74073
881 3014.6 3.74428
882 3024.85 3.7478
883 3034.99 3.75129
884 3045.02 3.75476
885 3054.93 3.75819
886 3064.73 3.7616
887 3074.43 3.76498
888 3084 3.76833
889 3093.48 3.77165
890 3102.84 3.77495
891 3112.09 3.77821
892 3121.24 3.78145
893 3130.28 3.78466
894 3139.22 3.78784
895 3148.06 3.791
896 3156.79 3.79413
897 3165.42 3.79723
898 3173.95 3.8003
899 3182.37 3.80334
900 3190.7 3.80636
901 3198.93 3.80935
902 3207.07 3.81231
903 3215.1 3.81525
904 3223.05 3.81816
905 3230.89 3.82104
906 3238.64 3.82389
907 3246.3 3.82672
908 3253.87 3.82952
909 3261.34 3.8323
910 3268.72 3.83505
911 3276.02 3.83777
912 3283.22 3.84046
913 3290.33 3.84313
914 3297.36 3.84578
915 3304.3 3.84839
916 3311.15 3.85098
917 3317.91 3.85355
918 3324.6 3.85608
919 3331.19 3.8586
920 3337.7 3.86108
921 3344.13 3.86354
922 3350.48 3.86598
923 3356.75 3.86839
924 3362.93 3.87077
925 3369.03 3.87313
926 3375.06 3.87546
927 3381 3.87777
928 3386.87 3.88005
929 3392.66 3.88231
930 3398.37 3.88454
931 3404 3.88674
932 3409.56 3.88892
933 3415.04 3.89108
934 3420.45 3.89321
935 3425.78 3.89531
936 3431.04 3.89739
937 3436.22 3.89945
938 3441.33 3.90148
939 3446.37 3.90349
940 3451.34 3.90547
941 3456.23 3.90742
942 3461.06 3.90936
943 3465.81 3.91126
944 3470.5 3.91314
945 3475.11 3.915
946 3479.66 3.91684
947 3484.14 3.91865
948 3488.55 3.92043
949 3492.89 3.92219
950 3497.17 3.92393
951 3501.38 3.92564
952 3505.52 3.92733
953 3509.6 3.92899
954 3513.61 3.93063
955 3517.56 3.93225
956 3521.44 3.93384
957 3525.26 3.93541
958 3529.01 3.93695
959 3532.7 3.93847
960 3536.33 3.93997
961 3539.89 3.94144
962 3543.4 3.94289
963 3546.84 3.94431
964 3550.22 3.94571
965 3553.54 3.94709
966 3556.79 3.94844
967 3559.99 3.94977
968 3563.13 3.95108
969 3566.2 3.95236
970 3569.22 3.95362
971 3572.18 3.95486
972 3575.08 3.95607
973 3577.92 3.95726
974 3580.7 3.95843
975 3583.42 3.95957
976 3586.09 3.96069
977 3588.7 3.96179
978 3591.25 3.96286
979 3593.74 3.96391
980 3596.18 3.96493
981 3598.56 3.96594
982 3600.88 3.96692
983 3603.15 3.96787
984 3605.36 3.96881
985 3607.52 3.96972
986 3609.62 3.9706
987 3611.67 3.97147
988 3613.66 3.97231
989 3615.59 3.97313
990 3617.47 3.97392
991 3619.3 3.9747
992 3621.07 3.97545
993 3622.79 3.97617
994 3624.46 3.97688
995 3626.07 3.97756
996 3627.63 3.97822
997 3629.13 3.97885
998 3630.58 3.97946
999 3631.98 3.98005
1000 3633.32 3.98062
1001 3634.61 3.98116
1002 3635.85 3.98168
1003 3637.04 3.98218
1004 3638.17 3.98266
1005 3639.26 3.98311
1006 3640.29 3.98354
1007 3641.26 3.98395
1008 3642.19 3.98433
1009 3643.06 3.9847
1010 3643.88 3.98503
1011 3644.65 3.98535
1012 3645.37 3.98565
1013 3646.04 3.98592
1014 3646.65 3.98617
1015 3647.22 3.98639
1016 3647.73 3.98659
1017 3648.19 3.98677
1018 3648.6 3.98693
1019 3648.95 3.98707
1020 3649.26 3.98718
1021 3649.52 3.98727
1022 3649.72 3.98734
1023 3649.87 3.98738
1024 3649.97 3.98741
