n   x   y
1002 0.49677 2.97482
1003 0.465248 2.97791
1004 0.433436 2.97752
1005 0.401723 2.97363
1006 0.370502 2.96625
1007 0.340173 2.95544
1008 0.311135 2.94129
1009 0.283796 2.92393
1010 0.258564 2.90354
1011 0.235844 2.88036
1012 0.21604 2.85467
1013 0.199544 2.82683
1014 0.18673 2.79727
1015 0.177944 2.76649
1016 0.173488 2.73507
1017 0.173605 2.70367
1018 0.178457 2.67303
1019 0.188102 2.64394
1020 0.20247 2.61722
1021 0.221337 2.59369
1022 0.244308 2.57411
1023 0.27081 2.55916
1024 0.300094 2.54936
1025 0.331265 2.54504
1026 0.363322 2.54633
1027 0.395218 2.55312
1028 0.425928 2.56511
1029 0.454505 2.58184
1030 0.480135 2.60273
1031 0.502162 2.62708
1032 0.520102 2.6542
1033 0.53364 2.68334
1034 0.542612 2.71381
1035 0.546986 2.74494
1036 0.546837 2.7761
1037 0.542326 2.80674
1038 0.533677 2.83633
1039 0.521166 2.86445
1040 0.505102 2.89068
1041 0.485821 2.9147
1042 0.463673 2.9362
1043 0.439023 2.95493
1044 0.412242 2.97069
1045 0.383705 2.9833
1046 0.353792 2.99264
1047 0.322883 2.99859
1048 0.291365 3.00108
1049 0.259621 3.00009
1050 0.22804 2.99561
1051 0.197013 2.98766
1052 0.166933 2.9763
1053 0.138195 2.96163
1054 0.111194 2.94381
1055 0.0863289 2.923
1056 0.0639918 2.89945
1057 0.0445706 2.87345
1058 0.0284413 2.84535
1059 0.0159607 2.81558
1060 0.00745701 2.78462
1061 0.00321649 2.75306
1062 0.00346803 2.72152
1063 0.00836395 2.69074
1064 0.0179583 2.66148
1065 0.0321835 2.63456
1066 0.0508281 2.61079
1067 0.0735179 2.59094
1068 0.0997062 2.57569
1069 0.128677 2.56559
1070 0.159563 2.56099
1071 0.19139 2.56205
1072 0.223124 2.56868
1073 0.253738 2.5806
1074 0.282276 2.59733
1075 0.307901 2.61829
1076 0.329936 2.64278
1077 0.347872 2.67006
1078 0.361375 2.69939
1079 0.37027 2.73003
1080 0.374517 2.7613
1081 0.374191 2.79256
1082 0.369458 2.82323
1083 0.360554 2.8528
1084 0.347763 2.88081
1085 0.331409 2.90686
1086 0.311839 2.93062
1087 0.289418 2.95179
1088 0.264522 2.97012
1089 0.237532 2.98543
1090 0.208833 2.99754
1091 0.178812 3.00633
1092 0.147856 3.01171
1093 0.116352 3.01362
1094 0.0846878 3.01203
1095 0.0532512 3.00695
1096 0.0224301 2.99843
1097 -0.00738743 2.98652
1098 -0.0358131 2.97135
1099 -0.0624592 2.95306
1100 -0.0869405 2.93184
1101 -0.108876 2.90793
1102 -0.127893 2.88162
1103 -0.14363 2.85327
1104 -0.155749 2.82329
1105 -0.163937 2.79217
1106 -0.167925 2.76046
1107 -0.167497 2.72879
1108 -0.162512 2.69788
1109 -0.152921 2.66846
1110 -0.138791 2.64135
1111 -0.120325 2.61734
1112 -0.0978796 2.59721
1113 -0.0719771 2.58165
1114 -0.0433047 2.57123
1115 -0.0126984 2.56633
1116 0.0188908 2.56712
1117 0.0504463 2.57355
1118 0.0809463 2.58535
1119 0.109426 2.60205
1120 0.135034 2.62306
1121 0.157067 2.64766
1122 0.174996 2.6751
1123 0.188468 2.7046
1124 0.197292 2.73542
1125 0.201422 2.76684
1126 0.200932 2.79821
1127 0.195991 2.82893
1128 0.186844 2.85848
1129 0.173787 2.88639
1130 0.157155 2.91228
1131 0.137309 2.93579
1132 0.114627 2.95664
1133 0.089496 2.97459
1134 0.0623086 2.98945
1135 0.0334589 3.00106
1136 0.00334102 3.00931
1137 -0.0276522 3.01413
1138 -0.0591298 3.01545
1139 -0.0907027 3.01328
1140 -0.121984 3.00762
1141 -0.152587 2.99852
1142 -0.182129 2.98608
1143 -0.210229 2.9704
1144 -0.236507 2.95164
1145 -0.260588 2.93001
1146 -0.282104 2.90574
1147 -0.300696 2.87913
