n	v_eff	rho
596 4989.3 5.72331
597 4988.92 5.72634
598 4988.53 5.72938
599 4988.15 5.73242
600 4987.75 5.73546
601 4987.36 5.73851
602 4986.95 5.74155
603 4986.55 5.7446
604 4986.13 5.74764
605 4985.72 5.75069
606 4985.3 5.75374
607 4984.87 5.75679
608 4984.44 5.75984
609 4984 5.7629
610 4983.56 5.76595
611 4983.11 5.76901
612 4982.66 5.77207
613 4982.21 5.77513
614 4981.74 5.77819
615 4981.28 5.78125
616 4980.81 5.78432
617 4980.33 5.78738
618 4979.85 5.79045
619 4979.37 5.79352
620 4978.88 5.79659
621 4978.38 5.79966
622 4977.88 5.80273
623 4977.38 5.80581
624 4976.87 5.80889
625 4976.36 5.81197
626 4975.84 5.81505
627 4975.32 5.81813
628 4974.79 5.82121
629 4974.26 5.8243
630 4973.72 5.82739
631 4973.18 5.83047
632 4972.63 5.83357
633 4972.08 5.83666
634 4971.52 5.83975
635 4970.96 5.84285
636 4970.4 5.84595
637 4969.83 5.84905
638 4969.25 5.85215
639 4968.67 5.85525
640 4968.09 5.85836
641 4967.5 5.86147
642 4966.91 5.86458
643 4966.31 5.86769
644 4965.7 5.8708
645 4965.1 5.87392
646 4964.49 5.87703
647 4963.87 5.88015
648 4963.25 5.88327
649 4962.62 5.8864
650 4961.99 5.88952
651 4961.36 5.89265
652 4960.72 5.89578
653 4960.07 5.89891
654 4959.42 5.90204
655 4958.77 5.90518
656 4958.11 5.90832
657 4957.45 5.91146
658 4956.78 5.9146
659 4956.11 5.91774
660 4955.43 5.92089
661 4954.75 5.92404
662 4954.06 5.92719
663 4953.37 5.93034
664 4952.68 5.9335
665 4951.98 5.93665
666 4951.28 5.93981
667 4950.57 5.94297
668 4949.85 5.94614
669 4949.14 5.9493
670 4948.41 5.95247
671 4947.69 5.95564
672 4946.96 5.95882
673 4946.22 5.96199
674 4945.48 5.96517
675 4944.74 5.96835
676 4943.99 5.97153
677 4943.23 5.97472
678 4942.47 5.97791
679 4941.71 5.9811
680 4940.94 5.98429
681 4940.17 5.98748
682 4939.39 5.99068
683 4938.61 5.99388
684 4937.83 5.99708
685 4937.04 6.00029
686 4936.24 6.00349
687 4935.45 6.0067
688 4934.64 6.00991
689 4933.83 6.01313
690 4933.02 6.01634
691 4932.21 6.01956
692 4931.38 6.02279
693 4930.56 6.02601
694 4929.73 6.02924
695 4928.89 6.03247
696 4928.05 6.0357
697 4927.21 6.03894
698 4926.36 6.04217
699 4925.51 6.04541
700 4924.65 6.04866
701 4923.79 6.0519
702 4922.93 6.05515
703 4922.06 6.0584
704 4921.18 6.06165
